title,author,publisher_url,pub_week,pub_day,pub_month,pub_daytime,language,language_id,sentiment,social_fb,social_tw,impact_score,topic_name,topic_name_en,topic_name_ua,page_url,is_today_utc,is_lastnewscycle_utc,is_last13weeks_utc,pubday_pages,pubday_annotations,is_main_topic,is_about_ukraine,is_biased_publisher,is_pro_putin,hq_city,hq_country,is_ukr_press,comments,editor
Ukraine's iron ore exports up 17.9 percent in January-June,,steelorbis.com,2015-27,2015-07-06,2015-07,06 Jul 15 15:17 UTC,en,1,neutral,0,1,1,Ukrainian economy/industry,Ukrainian economy/industry,Українська економіка/індустрія,http://www.steelorbis.com/steel-news/latest-news/ukraines_iron_ore_exports_up_179_percent_in_januaryjune_-889327.htm,0,0,0,0,0,1,1,0,0,Unknown,Unknown,0,,georgiy.mosiolik
Ukraine's pig iron exports down 41.3 percent in H1,,steelorbis.com,2015-27,2015-07-06,2015-07,06 Jul 15 15:17 UTC,en,1,neutral,0,1,1,Ukrainian economy/industry,Ukrainian economy/industry,Українська економіка/індустрія,http://www.steelorbis.com/steel-news/latest-news/ukraines_pig_iron_exports_down_413_percent_in_h1_-889326.htm,0,0,0,0,0,1,1,0,0,Unknown,Unknown,0,,georgiy.mosiolik
Ukraine's semi-finished steel exports down 31.7 percent in H1,,steelorbis.com,2015-27,2015-07-06,2015-07,06 Jul 15 15:17 UTC,en,1,neutral,0,1,1,Ukrainian economy/industry,Ukrainian economy/industry,Українська економіка/індустрія,http://www.steelorbis.com/steel-news/latest-news/ukraines_semifinished_steel_exports_down_317_percent_in_h1_-889325.htm,0,0,0,0,0,1,1,0,0,Unknown,Unknown,0,,georgiy.mosiolik
How Russia is leveraging the Greek debt crisis,,csmonitor.com,2015-27,2015-07-06,2015-07,06 Jul 15 15:23 UTC,en,1,neutral,146,12,158,Not related to Ukraine,Not related to Ukraine,Не має відношення до України,http://www.csmonitor.com/Environment/Energy-Voices/2015/0706/How-Russia-is-leveraging-the-Greek-debt-crisis,0,0,0,0,0,1,0,0,0,Boston,USA,0,,georgiy.mosiolik
INGO Group sells all its insurance assets in Ukraine,,en.interfax.com.ua,2015-27,2015-07-06,2015-07,06 Jul 15 15:27 UTC,en,1,neutral,2,3,5,Ukrainian economy/industry,Ukrainian economy/industry,Українська економіка/індустрія,http://en.interfax.com.ua/news/economic/276223.html,0,0,0,0,0,1,1,0,0,Kyiv,Ukraine,1,,Ira.Kolomiets
Daytona Beach Shores retiree brings a world of chess experience to the game,,news-journalonline.com,2015-27,2015-07-06,2015-07,06 Jul 15 15:36 UTC,en,1,not determined,55,4,59,Not related to Ukraine,Not related to Ukraine,Не має відношення до України,http://www.news-journalonline.com/article/20150706/news/150709744,0,0,0,0,0,1,0,0,0,Unknown,Unknown,0,,
Daytona Beach Shores retiree brings a world of chess experience to the game,,news-journalonline.com,2015-27,2015-07-06,2015-07,06 Jul 15 15:36 UTC,en,1,neutral,55,0,55,Not related to Ukraine,Not related to Ukraine,Не має відношення до України,http://www.news-journalonline.com/article/20150706/NEWS/150709744?Title=Daytona-Beach-Shores-retiree-brings-a-world-of-chess-experience-to-the-game-room,0,0,0,0,0,1,0,0,0,Unknown,Unknown,0,,georgiy.mosiolik
"Reuters: Ukraine corruption probe finds diamonds, cash, Kalashnikov",,kyivpost.com,2015-27,2015-07-06,2015-07,06 Jul 15 15:39 UTC,en,1,not determined,5,4,9,Ukrainian government and society,Ukrainian government and society,Український уряд та суспільство,http://www.kyivpost.com/content/ukraine-abroad/reuters-ukraine-corruption-probe-finds-diamonds-cash-kalashnikov-392811.html,0,0,0,0,0,1,1,0,0,Kyiv,Ukraine,1,,
Probe regarding Savchenko completed - Russian Investigative Committee,,kyivpost.com,2015-27,2015-07-06,2015-07,06 Jul 15 15:39 UTC,en,1,not determined,1,4,5,Prisoners of war,Prisoners of war,Bійськовополонені,http://www.kyivpost.com/content/ukraine/probe-regarding-savchenko-completed-russian-investigative-committee-392812.html,0,0,0,0,0,1,1,0,0,Kyiv,Ukraine,1,,
Trilateral Contact Group with Sajdik as new OSCE representative to meet in,,en.interfax.com.ua,2015-27,2015-07-06,2015-07,06 Jul 15 15:49 UTC,en,1,neutral,1,3,4,Peace talks,Peace talks,Мирні переговори,http://en.interfax.com.ua/news/general/276229.html,0,0,0,0,0,1,1,0,0,Kyiv,Ukraine,1,,georgiy.mosiolik
Will Russia Revoke Recognition of Baltic Independence?,,commentarymagazine.com,2015-27,2015-07-06,2015-07,06 Jul 15 15:51 UTC,en,1,neutral,116,27,143,Not related to Ukraine,Not related to Ukraine,Не має відношення до України,https://www.commentarymagazine.com/2015/07/06/war-with-russia-baltics/,0,0,0,0,0,1,0,0,0,Unknown,Unknown,0,,boyaryntseva
EBRD to provide rescue funding for Ukraine bank,,ft.com,2015-27,2015-07-06,2015-07,06 Jul 15 15:53 UTC,en,1,neutral,64,198,262,Ukrainian economy/industry,Ukrainian economy/industry,Українська економіка/індустрія,http://www.ft.com/cms/s/0/1c9871c8-23ed-11e5-bd83-71cb60e8f08c.html,0,0,0,0,0,1,1,0,0,London,United Kingdom,0,,Ira.Kolomiets
Ukraine's Displaced Immigrants Near 1.4 Million Amid Humanitarian Crisis From,,ibtimes.com,2015-27,2015-07-06,2015-07,06 Jul 15 15:53 UTC,en,1,neutral,26,32,58,Humanitarian crisis in Eastern Ukraine,Humanitarian crisis in Eastern Ukraine,Гуманітарна катастрофа на сході України,http://www.ibtimes.com/ukraines-displaced-immigrants-near-14-million-amid-humanitarian-crisis-war-russian-1996806,0,0,0,0,0,1,1,0,0,New York,USA,0,,georgiy.mosiolik
Germany to take part in military exercises in Ukraine – media,,en.interfax.com.ua,2015-27,2015-07-06,2015-07,06 Jul 15 15:53 UTC,en,1,not determined,1,4,5,Ukrainian international relations,Ukrainian international relations,Українські міжнародні відносини,http://en.interfax.com.ua/news/general/276230.html,0,0,0,0,0,1,1,0,0,Kyiv,Ukraine,1,,
Ukrainian fighter talks about his fellow soldier's last words,,uatoday.tv,2015-27,2015-07-06,2015-07,06 Jul 15 15:59 UTC,en,1,neutral,51,15,66,Fighting in Eastern Ukraine,Fighting in Eastern Ukraine,Бойові дії на Сході України,http://uatoday.tv/society/ukrainian-fighter-talks-about-his-fellow-soldier-rsquo-s-last-words-451285.html,0,0,0,0,0,1,1,1,0,Kyiv,Ukraine,1,,Ira.Kolomiets
Greeks voted no. Now Greece must go.,,chicagotribune.com,2015-27,2015-07-06,2015-07,06 Jul 15 16:00 UTC,en,1,neutral,3,65,68,Not related to Ukraine,Not related to Ukraine,Не має відношення до України,http://www.chicagotribune.com/news/opinion/commentary/ct-greece-eurozone-tsipras-merkel-20150706-story.html,0,0,0,0,0,1,0,0,0,Chicago,USA,0,,georgiy.mosiolik
Kyiv claims new attacks on Ukrainian positions in Donbas,,kyivpost.com,2015-27,2015-07-06,2015-07,06 Jul 15 16:01 UTC,en,1,neutral,0,0,0,Fighting in Eastern Ukraine,Fighting in Eastern Ukraine,Бойові дії на Сході України,https://www.kyivpost.com/content/ukraine/kyiv-claims-new-attacks-on-ukrainian-positions-in-donbas-392814.html,0,0,0,0,0,1,1,0,0,Kyiv,Ukraine,1,,georgiy.mosiolik
Ukraine Launches Western-style Police Force,,tolerance.ca,2015-27,2015-07-06,2015-07,06 Jul 15 16:02 UTC,en,1,neutral,0,0,0,Ukrainian government and society,Ukrainian government and society,Український уряд та суспільство,http://www.tolerance.ca/ArticleExt.aspx?ID=268927&L=en,0,0,0,0,0,1,1,0,0,Unknown,Unknown,0,,georgiy.mosiolik
Ukraine to create energy fund worth $1 bln,,reuters.com,2015-27,2015-07-06,2015-07,06 Jul 15 16:03 UTC,en,1,neutral,2,0,2,Ukrainian economy/industry,Ukrainian economy/industry,Українська економіка/індустрія,http://www.reuters.com/article/2015/07/06/ukraine-crisis-gas-idUSS8N0ZC00720150706,0,0,0,0,0,1,1,0,0,London,United Kingdom,0,,georgiy.mosiolik
International Business Times: Ukraine's displaced immigrants near 1.4 million,,kyivpost.com,2015-27,2015-07-06,2015-07,06 Jul 15 16:09 UTC,en,1,neutral,0,0,0,Humanitarian crisis in Eastern Ukraine,Humanitarian crisis in Eastern Ukraine,Гуманітарна катастрофа на сході України,http://kyivpost.com/content/ukraine-abroad/international-business-times-ukraines-displaced-immigrants-near-14-million-amid-humanitarian-crisis-from-war-with-russian-backed-rebels-392815.html,0,0,0,0,0,1,1,0,0,Kyiv,Ukraine,1,,georgiy.mosiolik
How likely is nuclear war with Russia?,,vox.com,2015-27,2015-07-06,2015-07,06 Jul 15 16:10 UTC,en,1,neutral,789,271,1060,Not related to Ukraine,Not related to Ukraine,Не має відношення до України,http://www.vox.com/2015/7/6/8900237/russia-war-odds,0,0,0,0,0,1,0,0,0,Unknown,Unknown,0,,georgiy.mosiolik
Financial Times: EBRD to provide rescue funding for Ukraine bank,,kyivpost.com,2015-27,2015-07-06,2015-07,06 Jul 15 16:17 UTC,en,1,neutral,1,9,10,Ukrainian economy/industry,Ukrainian economy/industry,Українська економіка/індустрія,http://www.kyivpost.com/content/ukraine-abroad/financial-times-ebrd-to-provide-rescue-funding-for-ukraine-bank-392816.html,0,0,0,0,0,1,1,0,0,Kyiv,Ukraine,1,,georgiy.mosiolik
Bloomberg: Ukrainian inflation slows further in June as hryvnia stabilizes,,uatoday.tv,2015-27,2015-07-06,2015-07,06 Jul 15 16:19 UTC,en,1,neutral,1,22,23,Ukrainian economy/industry,Ukrainian economy/industry,Українська економіка/індустрія,http://uatoday.tv/business/bloomberg-ukrainian-inflation-slows-further-in-june-as-hryvnia-stabilizes-451296.html,0,0,0,0,0,1,1,1,0,Kyiv,Ukraine,1,,Ira.Kolomiets
Inflation in Ukraine slows down to 0.4 percent in June 2015,,kyivpost.com,2015-27,2015-07-06,2015-07,06 Jul 15 16:23 UTC,en,1,neutral,1,8,9,Ukrainian economy/industry,Ukrainian economy/industry,Українська економіка/індустрія,http://www.kyivpost.com/content/ukraine/inflation-in-ukraine-slows-down-to-04-percent-in-june-2015-392817.html,0,0,0,0,0,1,1,0,0,Kyiv,Ukraine,1,,georgiy.mosiolik
Lucescu: Costa not ready for Bayern,,espnfc.com,2015-27,2015-07-06,2015-07,06 Jul 15 16:26 UTC,en,1,neutral,5,7,12,Not related to Ukraine,Not related to Ukraine,Не має відношення до України,http://www.espnfc.com/bayern-munich/story/2514228/douglas-costa-not-ready-for-bayern-says-shakhtar-boss,0,0,0,0,0,1,0,0,0,Bristol,USA,0,,georgiy.mosiolik
Trilateral Contact Group with Sajdik as new OSCE representative to meet in,,kyivpost.com,2015-27,2015-07-06,2015-07,06 Jul 15 16:35 UTC,en,1,not determined,1,7,8,Peace talks,Peace talks,Мирні переговори,http://www.kyivpost.com/content/ukraine/trilateral-contact-group-with-sajdik-as-new-osce-representative-to-meet-in-minsk-on-july-7-392818.html,0,0,0,0,0,1,1,0,0,Kyiv,Ukraine,1,,
Bloomberg: Ukrainian inflation slows further in June as hryvnia stabilizes,,kyivpost.com,2015-27,2015-07-06,2015-07,06 Jul 15 16:45 UTC,en,1,neutral,1,7,8,Ukrainian economy/industry,Ukrainian economy/industry,Українська економіка/індустрія,http://www.kyivpost.com/content/ukraine-abroad/bloomberg-ukrainian-inflation-slows-further-in-june-as-hryvnia-stabilizes-392819.html,0,0,0,0,0,1,1,0,0,Kyiv,Ukraine,1,,georgiy.mosiolik
Jailed Ukrainian Pilot Denied Jury Trial,,rferl.org,2015-27,2015-07-06,2015-07,06 Jul 15 16:47 UTC,en,1,not determined,130,76,206,Prisoners of war,Prisoners of war,Bійськовополонені,http://www.rferl.org/content/ukrainian-pilot-savchenko-denied-jury/27112817.html,0,0,0,0,0,1,1,0,0,Prague,Czech Republic,0,,
Caesium-137 rise reported near Chernobyl,,ukrainianjournal.com,2015-27,2015-07-06,2015-07,06 Jul 15 16:49 UTC,en,1,not determined,0,2,2,Fighting in Eastern Ukraine,Fighting in Eastern Ukraine,Бойові дії на Сході України,http://www.ukrainianjournal.com/index.php?w=article&id=20870,0,0,0,0,0,1,1,0,0,Unknown,Unknown,0,,
Belarus Independence Day celebrated in diplomatic missions,,eng.belta.by,2015-27,2015-07-06,2015-07,06 Jul 15 16:56 UTC,en,1,neutral,2,2,4,Not related to Ukraine,Not related to Ukraine,Не має відношення до України,http://eng.belta.by/all_news/politics/Belarus-Independence-Day-celebrated-in-diplomatic-missions_i_82995.html,0,0,0,0,0,1,0,0,0,Minsk,Belarus,0,,georgiy.mosiolik
"Tensions between the West, Russia could spur NATO strategy rethink",,haaretz.com,2015-27,2015-07-06,2015-07,06 Jul 15 16:58 UTC,en,1,neutral,46,30,76,Not related to Ukraine,Not related to Ukraine,Не має відношення до України,http://www.haaretz.com/news/world/1.664702,0,0,0,0,0,1,0,0,0,Unknown,Unknown,0,,vladimyr.lvr
Ukraine Delegate at OSCE Debate Slams Kiev Over Minsk Deal Violations,,sputniknews.com,2015-27,2015-07-06,2015-07,06 Jul 15 16:59 UTC,en,1,not determined,103,69,172,Peace talks,Peace talks,Мирні переговори,http://sputniknews.com/politics/20150706/1024287248.html,0,0,0,0,0,1,1,1,1,Moscow,Russia,0,,
