title,author,publisher_url,pub_week,pub_day,pub_month,pub_daytime,language,language_id,sentiment,social_fb,social_tw,impact_score,topic_name,topic_name_en,topic_name_ua,page_url,is_today_utc,is_lastnewscycle_utc,is_last13weeks_utc,pubday_pages,pubday_annotations,is_main_topic,is_about_ukraine,is_biased_publisher,is_pro_putin,hq_city,hq_country,is_ukr_press,comments,editor
Ukraine points finger at Russia as families mark downing ...,,msn.com,2015-29,2015-07-19,2015-07,19 Jul 15 04:21 UTC,en,1,neutral,0,1,1,MH-17 crash,MH-17 crash,Катастрофа рейсу МН-17,http://www.msn.com/en-sg/news/world/ukraine-points-finger-at-russia-as-families-mark-downing-of-mh17/ar-AAdaej5,0,0,0,0,0,1,1,0,0,Redmond,USA,0,,nata.smyhora
"After diplomatic disappointments, Iran deal vindicates Kerry",,news.yahoo.com,2015-29,2015-07-19,2015-07,19 Jul 15 04:26 UTC,en,1,not determined,1831,26,1857,Not related to Ukraine,Not related to Ukraine,Не має відношення до України,http://news.yahoo.com/diplomatic-disappointments-iran-deal-vindicates-kerry-115711257.html,0,0,0,0,0,1,0,0,0,Sunnyvale,USA,0,,
"Rebel shelling in east Ukraine kills three civilians, soldier: Ukraine military",,vocalrepublic.com,2015-29,2015-07-19,2015-07,19 Jul 15 04:36 UTC,en,1,neutral,0,0,0,Fighting in Eastern Ukraine,Fighting in Eastern Ukraine,Бойові дії на Сході України,http://www.vocalrepublic.com/rebel-shelling-in-east-ukraine-kills-three-civilians-soldier-ukraine-military/23612/,0,0,0,0,0,1,1,0,0,Unknown,Unknown,0,,inna1025
Ukraine crisis: Shelling damages hospital in Donetsk,,bbc.co.uk,2015-29,2015-07-19,2015-07,19 Jul 15 04:52 UTC,en,1,neutral,79,508,587,Fighting in Eastern Ukraine,Fighting in Eastern Ukraine,Бойові дії на Сході України,http://www.bbc.co.uk/news/world-europe-33585489,0,0,0,0,0,1,1,0,0,London,United Kingdom,0,,nata.smyhora
"Ukraine, rebels trade blame over shelling of central Donetsk",,af.reuters.com,2015-29,2015-07-19,2015-07,19 Jul 15 04:52 UTC,en,1,neutral,0,1,1,Fighting in Eastern Ukraine,Fighting in Eastern Ukraine,Бойові дії на Сході України,http://af.reuters.com/article/worldNews/idAFKCN0PT0C920150719,0,0,0,0,0,1,1,0,0,London,United Kingdom,0,,boyaryntseva
Traditional Ukrainian dancing and ceremony showcased at DSU,,thedickinsonpress.com,2015-29,2015-07-19,2015-07,19 Jul 15 04:55 UTC,en,1,neutral,18,3,21,Ukrainian government and society,Ukrainian government and society,Український уряд та суспільство,http://www.thedickinsonpress.com/news/3800317-traditional-ukrainian-dancing-and-ceremony-showcased-dsu,0,0,0,0,0,1,1,0,0,Unknown,Unknown,0,,nata.smyhora
"Ukraine, rebels trade blame over shelling of central Donetsk",,reuters.com,2015-29,2015-07-19,2015-07,19 Jul 15 05:01 UTC,en,1,neutral,64,31,95,Fighting in Eastern Ukraine,Fighting in Eastern Ukraine,Бойові дії на Сході України,http://www.reuters.com/article/2015/07/19/us-ukraine-crisis-violence-idUSKCN0PT0CH20150719,0,0,0,0,0,1,1,0,0,London,United Kingdom,0,,boyaryntseva
"Ukraine, rebels trade blame over shelling of central Donetsk",,trust.org,2015-29,2015-07-19,2015-07,19 Jul 15 05:01 UTC,en,1,neutral,2,0,2,Fighting in Eastern Ukraine,Fighting in Eastern Ukraine,Бойові дії на Сході України,http://www.trust.org/item/20150719114459-chkz2/?source=dpagehead,0,0,0,0,0,1,1,0,0,London,United Kingdom,0,,boyaryntseva
"Ukraine, rebels trade blame over shelling of central ...",,uk.reuters.com,2015-29,2015-07-19,2015-07,19 Jul 15 05:02 UTC,en,1,neutral,5,11,16,Fighting in Eastern Ukraine,Fighting in Eastern Ukraine,Бойові дії на Сході України,http://uk.reuters.com/article/2015/07/19/uk-ukraine-crisis-violence-idUKKCN0PT0C920150719,0,0,0,0,0,1,1,0,0,London,United Kingdom,0,,boyaryntseva
MH 17: Needed are facts not propaganda,,eturbonews.com,2015-29,2015-07-19,2015-07,19 Jul 15 05:03 UTC,en,1,negative,2,17,19,MH-17 crash,MH-17 crash,Катастрофа рейсу МН-17,http://www.eturbonews.com/61585/mh-17-needed-are-facts-not-propaganda,0,0,0,0,0,1,1,0,0,Unknown,Unknown,0,"One of quotes: 'Once, someone from Ukraine describing himself as “a Nazi” wrote the lawyer with the warning: “be careful what you do.”'",nata.smyhora
